# Measured GL	Phase [pi rad]:
0.0	0.000000
1.0	0.011602
2.0	0.019723
3.0	0.027629
4.0	0.035467
5.0	0.043279
6.0	0.051079
7.0	0.058876
8.0	0.066675
9.0	0.074769
10.0	0.087449
11.0	0.095382
12.0	0.102422
13.0	0.110045
14.0	0.117336
15.0	0.124919
16.0	0.131991
17.0	0.139570
18.0	0.147661
19.0	0.156154
20.0	0.164358
21.0	0.171032
22.0	0.179080
23.0	0.186383
24.0	0.193884
25.0	0.201908
26.0	0.209546
27.0	0.217479
28.0	0.225960
29.0	0.235195
30.0	0.243095
31.0	0.251183
32.0	0.258788
33.0	0.266709
34.0	0.275158
35.0	0.282801
36.0	0.290236
37.0	0.297839
38.0	0.304006
39.0	0.310745
40.0	0.317374
41.0	0.324450
42.0	0.329555
43.0	0.336235
44.0	0.342469
45.0	0.349035
46.0	0.355882
47.0	0.363873
48.0	0.370636
49.0	0.377551
50.0	0.384234
51.0	0.390709
52.0	0.398389
53.0	0.404713
54.0	0.411690
55.0	0.418095
56.0	0.424056
57.0	0.430732
58.0	0.436974
59.0	0.443878
60.0	0.450484
61.0	0.457227
62.0	0.464855
63.0	0.471783
64.0	0.479420
65.0	0.487134
66.0	0.494954
67.0	0.501490
68.0	0.507571
69.0	0.512692
70.0	0.518361
71.0	0.523872
72.0	0.529289
73.0	0.535488
74.0	0.540849
75.0	0.545498
76.0	0.551113
77.0	0.556426
78.0	0.563644
79.0	0.571057
80.0	0.578974
81.0	0.586574
82.0	0.594258
83.0	0.602176
84.0	0.610405
85.0	0.618891
86.0	0.626725
87.0	0.633537
88.0	0.641433
89.0	0.649417
90.0	0.656650
91.0	0.664724
92.0	0.671331
93.0	0.677554
94.0	0.683047
95.0	0.689474
96.0	0.696339
97.0	0.702404
98.0	0.708627
99.0	0.713686
100.0	0.719770
101.0	0.725226
102.0	0.731302
103.0	0.739173
104.0	0.747367
105.0	0.754481
106.0	0.761172
107.0	0.769492
108.0	0.777210
109.0	0.784654
110.0	0.793341
111.0	0.800868
112.0	0.808296
113.0	0.817227
114.0	0.826122
115.0	0.834369
116.0	0.842099
117.0	0.850745
118.0	0.858408
119.0	0.868233
120.0	0.876308
121.0	0.885534
122.0	0.896333
123.0	0.903578
124.0	0.910382
125.0	0.916496
126.0	0.925157
127.0	0.931686
128.0	0.938935
129.0	0.945798
130.0	0.951968
131.0	0.957477
132.0	0.965516
133.0	0.972430
134.0	0.980444
135.0	0.986739
136.0	0.993912
137.0	1.000768
138.0	1.010373
139.0	1.012843
140.0	1.024956
141.0	1.034461
142.0	1.046377
143.0	1.054207
144.0	1.060775
145.0	1.068302
146.0	1.077360
147.0	1.086200
148.0	1.093542
149.0	1.102123
150.0	1.111113
151.0	1.121681
152.0	1.132719
153.0	1.142253
154.0	1.152664
155.0	1.161032
156.0	1.167149
157.0	1.175636
158.0	1.185726
159.0	1.193824
160.0	1.201858
161.0	1.210973
162.0	1.220682
163.0	1.233648
164.0	1.244798
165.0	1.255497
166.0	1.267647
167.0	1.279143
168.0	1.290887
169.0	1.300544
170.0	1.310814
171.0	1.318948
172.0	1.327807
173.0	1.338449
174.0	1.347743
175.0	1.357120
176.0	1.369905
177.0	1.385028
178.0	1.397198
179.0	1.410272
180.0	1.422895
181.0	1.437346
182.0	1.452042
183.0	1.465131
184.0	1.476049
185.0	1.487326
186.0	1.498553
187.0	1.507047
188.0	1.515153
189.0	1.524084
190.0	1.533384
191.0	1.544451
192.0	1.556343
193.0	1.567266
194.0	1.578886
195.0	1.591221
196.0	1.604183
197.0	1.615535
198.0	1.627096
199.0	1.637259
200.0	1.648306
201.0	1.657519
202.0	1.666565
203.0	1.674222
204.0	1.684500
205.0	1.694791
206.0	1.703225
207.0	1.713692
208.0	1.726161
209.0	1.738670
210.0	1.748714
211.0	1.760174
212.0	1.770459
213.0	1.782601
214.0	1.792567
215.0	1.804494
216.0	1.814779
217.0	1.820907
218.0	1.828041
219.0	1.837134
220.0	1.846183
221.0	1.853880
222.0	1.860555
223.0	1.868215
224.0	1.873826
225.0	1.885439
226.0	1.892274
227.0	1.901077
228.0	1.913620
229.0	1.911239
230.0	1.915439
231.0	1.928526
232.0	1.939207
233.0	1.955028
234.0	1.955809
235.0	1.967271
236.0	1.972249
237.0	1.980260
238.0	1.988673
239.0	1.995427
240.0	2.000838
241.0	2.008435
242.0	2.016180
243.0	2.023828
244.0	2.029297
245.0	2.034259
246.0	2.038128
247.0	2.045854
248.0	2.053733
249.0	2.061721
250.0	2.069803
251.0	2.077972
252.0	2.086218
253.0	2.094537
254.0	2.102924
255.0	2.111376
