# Measured GL	Phase [pi rad]:
0.0	0.007444
1.0	0.019117
2.0	0.027857
3.0	0.035876
4.0	0.043577
5.0	0.051108
6.0	0.058537
7.0	0.065902
8.0	0.073227
9.0	0.080819
10.0	0.093110
11.0	0.100271
12.0	0.108680
13.0	0.115523
14.0	0.123348
15.0	0.130612
16.0	0.139508
17.0	0.146622
18.0	0.152447
19.0	0.158687
20.0	0.165217
21.0	0.171079
22.0	0.174014
23.0	0.177775
24.0	0.182924
25.0	0.189040
26.0	0.194744
27.0	0.200328
28.0	0.205668
29.0	0.211987
30.0	0.218480
31.0	0.224822
32.0	0.231693
33.0	0.240540
34.0	0.250487
35.0	0.261042
36.0	0.270850
37.0	0.281138
38.0	0.291894
39.0	0.302412
40.0	0.310418
41.0	0.318002
42.0	0.327789
43.0	0.338200
44.0	0.347687
45.0	0.355270
46.0	0.363007
47.0	0.369690
48.0	0.377368
49.0	0.384175
50.0	0.389923
51.0	0.396610
52.0	0.401995
53.0	0.407530
54.0	0.413210
55.0	0.418759
56.0	0.423621
57.0	0.428240
58.0	0.433325
59.0	0.437298
60.0	0.443607
61.0	0.451030
62.0	0.458022
63.0	0.465526
64.0	0.472585
65.0	0.480866
66.0	0.489239
67.0	0.498931
68.0	0.508128
69.0	0.516867
70.0	0.526211
71.0	0.534480
72.0	0.543415
73.0	0.550898
74.0	0.557700
75.0	0.563919
76.0	0.570559
77.0	0.576466
78.0	0.582002
79.0	0.588880
80.0	0.595377
81.0	0.600866
82.0	0.607027
83.0	0.612572
84.0	0.618999
85.0	0.625418
86.0	0.632478
87.0	0.640258
88.0	0.649333
89.0	0.659562
90.0	0.669392
91.0	0.678616
92.0	0.687530
93.0	0.697029
94.0	0.706953
95.0	0.715499
96.0	0.722885
97.0	0.731007
98.0	0.738584
99.0	0.744130
100.0	0.748768
101.0	0.754078
102.0	0.759295
103.0	0.764807
104.0	0.770407
105.0	0.777507
106.0	0.785509
107.0	0.794427
108.0	0.804566
109.0	0.815024
110.0	0.825657
111.0	0.836922
112.0	0.848700
113.0	0.861034
114.0	0.871781
115.0	0.883264
116.0	0.894160
117.0	0.904570
118.0	0.914474
119.0	0.924757
120.0	0.935644
121.0	0.944386
122.0	0.954185
123.0	0.962361
124.0	0.971499
125.0	0.977144
126.0	0.980752
127.0	0.996973
128.0	1.010160
129.0	1.022077
130.0	1.032600
131.0	1.040907
132.0	1.049114
133.0	1.053363
134.0	1.058974
135.0	1.065568
136.0	1.071795
137.0	1.078798
138.0	1.086647
139.0	1.093242
140.0	1.100248
141.0	1.106153
142.0	1.113989
143.0	1.121467
144.0	1.128500
145.0	1.136549
146.0	1.144673
147.0	1.153682
148.0	1.161865
149.0	1.170242
150.0	1.178137
151.0	1.186478
152.0	1.194423
153.0	1.203029
154.0	1.211082
155.0	1.219643
156.0	1.227197
157.0	1.235421
158.0	1.244218
159.0	1.253218
160.0	1.262211
161.0	1.270413
162.0	1.279250
163.0	1.287511
164.0	1.295484
165.0	1.303438
166.0	1.310990
167.0	1.317494
168.0	1.324413
169.0	1.330893
170.0	1.337487
171.0	1.343400
172.0	1.349806
173.0	1.355970
174.0	1.362932
175.0	1.369734
176.0	1.377841
177.0	1.386326
178.0	1.393646
179.0	1.401383
180.0	1.409912
181.0	1.419004
182.0	1.426701
183.0	1.434472
184.0	1.443378
185.0	1.451487
186.0	1.458729
187.0	1.466579
188.0	1.472581
189.0	1.479030
190.0	1.484902
191.0	1.491995
192.0	1.498028
193.0	1.503989
194.0	1.510766
195.0	1.517612
196.0	1.524092
197.0	1.530708
198.0	1.538789
199.0	1.547100
200.0	1.554795
201.0	1.562516
202.0	1.572250
203.0	1.582441
204.0	1.592013
205.0	1.601897
206.0	1.612267
207.0	1.621738
208.0	1.632783
209.0	1.641893
210.0	1.652340
211.0	1.661459
212.0	1.670854
213.0	1.680859
214.0	1.690134
215.0	1.698375
216.0	1.706837
217.0	1.714800
218.0	1.721855
219.0	1.729118
220.0	1.736571
221.0	1.745231
222.0	1.752878
223.0	1.760960
224.0	1.768731
225.0	1.775827
226.0	1.783252
227.0	1.790422
228.0	1.796649
229.0	1.804511
230.0	1.811120
231.0	1.817332
232.0	1.823871
233.0	1.830521
234.0	1.836752
235.0	1.843834
236.0	1.850536
237.0	1.857591
238.0	1.865326
239.0	1.873626
240.0	1.882304
241.0	1.891237
242.0	1.900418
243.0	1.907689
244.0	1.916570
245.0	1.927766
246.0	1.933192
247.0	1.941878
248.0	1.950766
249.0	1.959653
250.0	1.968546
251.0	1.977465
252.0	1.986471
253.0	1.996141
254.0	1.999518
255.0	1.987881
